Time	 WildTypeCellMutationState	 ApcOneHitCellMutationState	 ApcTwoHitCellMutationState	 BetaCateninOneHitCellMutationState	 
210.833	57	0	0	0	
211.667	58	0	0	0	
212.5	57	0	0	0	
213.333	58	0	0	0	
214.167	60	0	0	0	
215	62	0	0	0	
215.833	63	0	0	0	
216.667	64	0	0	0	
217.5	64	0	0	0	
218.333	63	0	0	0	
219.167	61	0	0	0	
220	59	0	0	0	
220.833	60	0	0	0	
221.667	61	0	0	0	
222.5	59	0	0	0	
223.333	60	0	0	0	
224.167	60	0	0	0	
225	58	0	0	0	
225.833	57	0	0	0	
226.667	56	0	0	0	
227.5	56	0	0	0	
228.333	57	0	0	0	
229.167	58	0	0	0	
230	60	0	0	0	
230.833	62	0	0	0	
231.667	64	0	0	0	
232.5	66	0	0	0	
233.333	62	0	0	0	
234.167	64	0	0	0	
235	61	0	0	0	
235.833	60	0	0	0	
236.667	60	0	0	0	
237.5	58	0	0	0	
238.333	61	0	0	0	
239.167	62	0	0	0	
240	58	0	0	0	
240.833	59	0	0	0	
241.667	60	0	0	0	
242.5	59	0	0	0	
243.333	58	0	0	0	
244.167	56	0	0	0	
245	59	0	0	0	
245.833	62	0	0	0	
246.667	63	0	0	0	
247.5	65	0	0	0	
248.333	69	0	0	0	
249.167	68	0	0	0	
250	65	0	0	0	
250.833	63	0	0	0	
251.667	61	0	0	0	
252.5	59	0	0	0	
253.333	58	0	0	0	
254.167	61	0	0	0	
255	60	0	0	0	
255.833	58	0	0	0	
256.667	58	0	0	0	
257.5	59	0	0	0	
258.333	58	0	0	0	
259.167	59	0	0	0	
260	60	0	0	0	
260.833	57	0	0	0	
261.667	62	0	0	0	
262.5	66	0	0	0	
263.333	69	0	0	0	
264.167	67	0	0	0	
265	68	0	0	0	
265.833	65	0	0	0	
266.667	61	0	0	0	
267.5	60	0	0	0	
268.333	59	0	0	0	
269.167	59	0	0	0	
270	59	0	0	0	
270.833	60	0	0	0	
271.667	58	0	0	0	
272.5	55	0	0	0	
273.333	55	0	0	0	
274.167	57	0	0	0	
275	57	0	0	0	
275.833	59	0	0	0	
276.667	61	0	0	0	
277.5	63	0	0	0	
278.333	65	0	0	0	
279.167	68	0	0	0	
280	68	0	0	0	
280.833	67	0	0	0	
281.667	64	0	0	0	
282.5	62	0	0	0	
283.333	60	0	0	0	
284.167	58	0	0	0	
285	57	0	0	0	
285.833	57	0	0	0	
286.667	56	0	0	0	
287.5	57	0	0	0	
